,merk,model,tipe,harga,kota,provinsi,showroom,tahun,warna,transmisi,deskripsi
0,HONDA,FREED,1.5 SD,119000000,Jakarta Utara,DKI Jakarta,Showroom Paskah Mobilindo,HONDA,Silver,AT,"* Harga khusus kredit Rp 119.000.000,-* Harga khusus Tunai Rp 125.000.000,-Total pembayaran pertama Rp..."
1,MITSUBISHI,LANCER,1.6 GLX,73500000,Jakarta Timur,DKI Jakarta,Showroom Cipinang Jaya,MITSUBISHI,Silver,MT,"Deskripsi mobil di showroom kami :             Showroom terbaik di OTOmart.id, Kami konsistensi melayani anda.- Cash /..."
2,TOYOTA,VELLFIRE  ,Lainnya,495000000,Jakarta Utara,DKI Jakarta,Showroom Auto Fame,TOYOTA,Putih,AT,"Plat Genap, Pilot Seat With Ottoman, Electric Seat With Memory, Km 30Rban, Jarang Pakai, Record Toyota, Tipe ZG, Power Back..."
3,TOYOTA,VIOS,1.5 G,145000000,Tangerang,Banten,Showroom Autobozz,TOYOTA,Silver,AT,"*OTR KHUSS PAKET KREDIT * OTR  : 145 jtTDP : 18 jtAngs.4,272 jt x 47 blnAss.TLOTDP TERMASUK ANGSURAN..."
4,NISSAN,GRAND LIVINA,1.5 ULTIMATE,95000000,Tangerang,Banten,Showroom Autobozz,NISSAN,Hitam,AT,"*OTR KHUSUS PAKET KREDIT*OTR : 95 jtTDP : 18 jtAngs.2,987 jt x 47 blnAss.TLOTDP TERMASUK ANGSURAN..."
5,TOYOTA,AGYA,1.0 G,88000000,Bekasi,Jawa Barat,Showroom Liman Jaya Motor,TOYOTA,Abu-abu,AT,"Deskripsi mobil di showroom kami :             Showroom terbaik di OTOmart.id, Kami konsistensi melayani anda.- Cash /..."
6,SUZUKI,KARIMUN WAGON R,1.0 GS,82000000,Bekasi,Jawa Barat,Showroom Liman Jaya Motor,SUZUKI,Putih,AT,"Deskripsi mobil di showroom kami :             Showroom terbaik di OTOmart.id, Kami konsistensi melayani anda.- Cash /..."
7,HONDA,HR-V,1.8 MUGEN,282000000,Jakarta Utara,DKI Jakarta,Swiz Auto 4,HONDA,Hitam,AT,Dijual HRV Mugen e cvt A/T 2018 Harga kredit 282.000.000Tdp 72.718.000 / 5.887.000 5thnTdp 66.280.000 / 7.000.000...
8,TOYOTA,ALTIS,1.8 V,243000000,Jakarta Utara,DKI Jakarta,Swiz Auto  Mangga Dua,TOYOTA,Putih,AT,For sale : New Toyota Altis V AT 2015 PutihCP = 0819 0888 2931 ( Tio)  WA/ Call B 23 PUNopol angka GANJILType : V...
9,HONDA,BRIO,1.2 RS,143000000,Jakarta Utara,DKI Jakarta,Swiz Auto 4,HONDA,Oranye,AT,Dijual Brio RS automatic 2017 orange harga kredit 143.000.000 Tdp 29.441.000 / 3.281.000 5thnbcaTdp 20.618.000 /...
