;n_PCA;kluster terbaik;silhout
0;3;4;0.5459613610639864
1;4;2;0.46048933232806744
2;5;9;0.4233228142374357
3;6;12;0.41321299296318365
4;7;9;0.39643488745345457
5;8;10;0.3858800031702396
6;9;10;0.382412316001898
7;10;13;0.3673906079411804
8;11;15;0.35625350652809057
9;12;15;0.3597064112984649
10;13;14;0.34101354656320676
11;14;15;0.329392153725377
12;15;15;0.3209813714362838
13;16;18;0.32266826452728453
14;17;22;0.31808820515677516
15;18;18;0.3063621372119136
16;19;18;0.3111194414997139
17;20;19;0.29635820582506367
18;21;23;0.2978605046900908
19;22;22;0.2820896223768643
20;23;24;0.2890557229533374
21;24;36;0.2682856883791342
22;25;23;0.2662619637931227
23;26;26;0.2656832611771712
24;27;28;0.2705190598712262
25;28;35;0.25151664801548146
26;29;39;0.24082266574493447
27;30;29;0.25292449164260333
28;31;38;0.24733599030228584
29;32;46;0.25067561894069035
30;33;44;0.25123269022009437
31;34;37;0.2492404373616092
32;35;48;0.2502502500499612
33;36;44;0.24689304059739706
34;37;50;0.25444393846835206
35;38;45;0.24188692800127123
36;39;47;0.24127072643391065
37;40;45;0.2425550198377499
38;41;39;0.2323189990455174
39;42;61;0.23342863687001245
40;43;50;0.23432025260615366
41;44;52;0.22880998840349012
42;45;47;0.2308597054210609
43;46;50;0.225762069809232
44;47;53;0.2290765437124311
45;48;55;0.22544622271333406
46;49;57;0.22212698415310958
47;50;63;0.22420517726636915
48;51;51;0.2147846087543464
49;52;44;0.21909424595859264
50;53;61;0.21723007552673182
51;54;57;0.21530720727083852
52;55;48;0.21127659587255948
53;56;56;0.20856196708072305
54;57;49;0.21310196961904146
55;58;64;0.2033397468535165
56;59;61;0.19991406442230344
57;60;47;0.204851964001958
58;61;47;0.19851086754212888
59;62;54;0.19501021510299738
60;63;65;0.1873697343139295
61;64;60;0.18867594502110288
62;65;69;0.1841845695191191
63;66;61;0.17900058537440156
64;67;65;0.17277031290876688
65;68;72;0.17461138883077373
66;69;60;0.17321832353009764
67;70;57;0.17001687832302864
68;71;62;0.1717679687584166
69;72;68;0.16873867850204963
70;73;65;0.1639968008799883
71;74;65;0.1665215013606805
72;75;68;0.1669079164905624
73;76;56;0.16035267689347596
74;77;76;0.16169397445783754
75;78;73;0.15676600547256062
76;79;81;0.15530258200062932
77;80;87;0.15935104646641984
78;81;57;0.1550286908304491
79;82;81;0.15487728066812373
80;83;76;0.15772658160245542
81;84;60;0.1482499487517974
82;85;87;0.14921382660302118
83;86;82;0.14539258940632765
84;87;80;0.14810150706252742
85;88;87;0.14646767913272285
86;89;93;0.14765274224653135
87;90;76;0.1337871071068982
88;91;76;0.1351562474151163
89;92;91;0.14108842028926502
90;93;96;0.13681364037479482
91;94;76;0.13461777268545888
92;95;87;0.13344307646812312
93;96;91;0.1347120726617484
94;97;104;0.13399440461596498
95;98;86;0.13821409465496037
96;99;94;0.12784729460180036
97;100;86;0.13035019194551536
98;101;85;0.12622335812096525
99;102;99;0.12375048656759347
100;103;79;0.1278593558465223
101;104;2;0.1624613835741782
102;105;90;0.12227519286617825
103;106;95;0.12004535221759188
104;107;5;0.11851672778701894
105;108;86;0.1156286440881983
106;109;76;0.11492001315842941
107;110;90;0.11912972647111592
108;111;96;0.11529654968495784
109;112;85;0.11294760680723007
110;113;103;0.1098756179510788
111;114;90;0.1102998630919186
112;115;96;0.10644286637246479
113;116;112;0.11385463512897626
114;117;95;0.10738990607267918
115;118;96;0.10726611411766325
116;119;77;0.10518889157384488
117;120;89;0.10385631358353344
118;121;83;0.10272229097713523
119;122;5;0.10767639499519556
120;123;94;0.10426951807436548
121;124;88;0.10581842470837693
122;125;79;0.10055894626541852
123;126;88;0.0979715688460168
124;127;88;0.09753263217468475
125;128;89;0.09711778053529332
126;129;80;0.09858169455667408
127;130;90;0.09844086643364872
128;131;85;0.09448994140598806
129;132;78;0.09510446147683242
130;133;86;0.09835064797786923
131;134;93;0.08979492808680298
132;135;75;0.09387567445080784
133;136;68;0.08962356652693557
134;137;87;0.09119263424459456
135;138;67;0.08855775318320742
136;139;64;0.09107800246464372
137;140;65;0.0886104228300654
138;141;2;0.09290594928522776
139;142;64;0.08722941015011355
140;143;2;0.09253774240107972
141;144;3;0.08803769565447879
142;145;44;0.08877332890040109
143;146;91;0.08697655099191187
144;147;42;0.08549662802090298
145;148;3;0.08731672568756421
146;149;53;0.0895701414171364
